name,binaryflag,mass,radius,period,semimajoraxis,eccentricity,periastron,longitude,ascendingnode,inclination,temperature,age,discoverymethod,discoveryyear,lastupdate,system_rightascension,system_declination,system_distance,hoststar_mass,hoststar_radius,hoststar_metallicity,hoststar_temperature,hoststar_age,list
Kepler-1032 b,0,,0.167,3.29011795,,,,,,,,,transit,2016.0,16/05/10,19 19 43.4040,+40 05 51.8400,683.854,0.77,0.71,0.16,4647.0,,Confirmed planets
HD 154857 b,0,2.24,,408.6,1.291,0.46,57.0,,,,336.0,,RV,2004.0,14/01/25,17 11 15.7217,-56 40 50.8706,64.2,1.718,2.31,-0.31,5508.0,,Confirmed planets
HD 154857 c,0,2.58,,3452.0,5.36,0.06,352.0,,,,,,RV,2014.0,14/01/25,17 11 15.7217,-56 40 50.8706,64.2,1.718,2.31,-0.31,5508.0,,Confirmed planets
Kepler-994 b,0,,0.143,1.15116651,,,,,,,,,transit,2016.0,16/05/10,19 16 17.3254,+47 24 25.3965,189.186,0.56,0.54,-0.13,3934.0,,Confirmed planets
Kepler-1350 b,0,,0.225,4.4968604,,,,,,,,,transit,2016.0,16/05/10,19 13 00.1410,+46 40 46.5233,343.926,0.55,0.53,-0.06,3827.0,,Confirmed planets
Kepler-1350 c,0,,0.154,1.76678906,,,,,,,,,transit,2016.0,16/05/10,19 13 00.1410,+46 40 46.5233,343.926,0.55,0.53,-0.06,3827.0,,Confirmed planets
Kepler-1268 b,0,,0.181,40.9903986,,,,,,,,,transit,2016.0,16/05/10,19 11 21.2310,+43 09 11.6529,1945.15,1.06,1.09,0.05,5904.0,,Confirmed planets
KMT-2019-BLG-1339L b,0,1.25,,,2.15,,,,,,,,microlensing,2020.0,20/09/03,17 42 58,-25 34 26,6120.0,0.48,,,,,Confirmed planets
KMT-2019-BLG-1715 b,0,2.56,,,3.32,,,,,,,,microlensing,2021.0,21/04/02,18 01 29.00,-28 46 38.00,3860.0,0.76,,,,,Confirmed planets
TOI-1685 b,0,0.01189,0.152,0.6691403,,,,,,84.74,1069.0,,transit,2021.0,21/03/03,04 34 23.00,+43 02 13.00,37.609,0.495,0.492,-0.13,3434.0,,Confirmed planets
Kepler-1519 b,0,,0.63,240.7989397,,,,,,,,,transit,2016.0,16/05/10,19 46 40.3040,+49 27 42.6262,1503.53,0.94,0.91,-0.07,5644.0,,Confirmed planets
Kepler-791 b,0,,0.272,14.5539759,,,,,,,,,transit,2016.0,16/05/10,19 34 23.0000,+39 01 46.1342,1312.85,1.3,1.47,0.06,6383.0,,Confirmed planets
Kepler-175 b,0,,0.23329,11.903515,,,,,,,,,transit,2014.0,14/02/26,19 18 12.7847,+43 52 34.2341,1219.23,1.045,1.01,,6064.0,,Confirmed planets
Kepler-175 c,0,,0.2825,34.035257,,,,,,,,,transit,2014.0,14/02/26,19 18 12.7847,+43 52 34.2341,1219.23,1.045,1.01,,6064.0,,Confirmed planets
OGLE-2017-BLG-0373L b,0,0.401,,,,,,,,,,,microlensing,2018.0,18/09/20,17 57 19.06,-31 57 06.2,5915.0,0.248,,,,,Confirmed planets
WASP-71 b,0,2.242,1.46,2.9036747,0.04631,0.0,,,,84.2,1888.1,,transit,2012.0,14/01/26,01 57 03.2040,+00 45 31.8788,200.0,1.559,2.26,,6050.0,,Confirmed planets
HD 1666 b,0,6.43,,270.0,0.94,0.63,,,,,,,RV,2015.0,15/03/26,00 20 52.33959,-19 55 52.4083,110.6,1.5,1.93,0.37,6317.0,1.76,Confirmed planets
Kepler-1205 b,0,,0.126,1.07839035,,,,,,,,,transit,2016.0,16/05/10,19 21 07.1249,+41 30 54.1421,712.708,0.84,0.81,-0.04,5226.0,,Confirmed planets
KMT-2016-BLG-2605 b,0,0.771,,,0.681,,,,,,,,microlensing,2021.0,21/04/19,17 59 18.00,-26 58 55.00,6421.0,0.064,,,,,Confirmed planets
LTT 3780 b,0,0.00824,0.119,0.768448,0.01211,0.0,,,,87.1,892.0,,transit,2020.0,20/06/04,10 18 35.1370,-11 43 00.2415,21.98,0.4,0.37,0.28,3331.0,,Confirmed planets
LTT 3780 c,0,0.02706,0.205,12.2519,0.07673,0.06,124.0,,,89.18,353.0,,transit,2020.0,20/06/04,10 18 35.1370,-11 43 00.2415,21.98,0.4,0.37,0.28,3331.0,,Confirmed planets
WASP-177 b,0,0.508,1.58,3.071722,0.03957,0.0,,,,84.14,1142.0,,transit,2019.0,19/03/15,22 19 11.3367,-01 50 03.0791,177.7,0.876,0.885,0.25,5017.0,9.7,Confirmed planets
Kepler-1061 b,0,,0.177,2.75798267,,,,,,,,,transit,2016.0,16/05/10,19 44 55.2011,+50 16 30.7459,552.029,1.09,1.07,-0.03,6067.0,,Confirmed planets
NGTS-18 b,0,0.409,1.21,3.05125,0.0448,0.0,,,,,1381.0,,transit,2021.0,21/03/19,12 02 11.00,-35 32 55.00,1108.0,1.003,1.392,0.15,5610.0,,Confirmed planets
WASP-170 b,0,1.6,1.096,2.34478022,0.0337,,,,,84.87,1422.0,,transit,2018.0,18/12/13,09 01 39.9237,-20 43 13.3445,308.27,0.93,0.94,0.22,5600.0,,Confirmed planets
HD 132563 B b,2,1.49,,1544.0,2.62,0.22,,,,,158.5,,RV,2011.0,11/07/06,14 58 21.519,+44 02 35.33,96.0,1.01,,-0.19,5985.0,,"Confirmed planets, Planets in binary systems, S-type"
WASP-192 b,0,2.3,1.23,2.8786765,0.0408,0.0,,,,82.7,1620.0,,transit,2019.0,19/10/10,14 54 38.0915,-38 44 40.3449,495.0,1.09,1.32,0.14,5910.0,,Confirmed planets
HAT-P-31 b,0,2.171,1.07,5.005425,0.055,0.245,,,,87.1,1324.7,,transit,2011.0,13/05/29,18 06 09.0499,+26 25 35.9897,354.0,1.218,1.36,0.15,6065.0,,Confirmed planets
Kepler-1332 b,0,,0.122,11.87456832,,,,,,,,,transit,2016.0,16/05/10,19 24 06.8594,+43 54 49.2459,536.855,0.95,0.9,0.0,5581.0,,Confirmed planets
Kepler-626 b,0,,0.204,14.48585199,,,,,,,,,transit,2016.0,16/05/10,19 14 47.6806,+39 42 29.7664,647.501,1.01,1.05,0.01,5813.0,,Confirmed planets
HD 164595 b,0,0.051,,40.0,0.23,0.088,,,,,,,RV,2015.0,15/06/29,18 00 38.89431,+29 34 18.9202,28.93,0.99,,-0.04,5790.0,,Confirmed planets
